timestamp,0,1,2,3,4,5,6,7,8,9
0,0,0,0,0,456,507,0,1018,38,0
1,0,0,0,0,446,505,0,1018,38,0
2,0,0,0,0,480,506,0,1018,38,0
3,0,0,0,0,506,506,0,1018,38,0
4,0,0,0,0,509,505,0,1018,38,0
5,0,0,0,0,509,506,0,1018,38,0
6,0,0,0,0,512,504,0,1018,38,0
7,0,0,0,0,513,505,0,1018,38,0
8,0,0,0,0,525,507,0,1018,38,0
9,0,0,0,0,523,505,0,1018,38,0
10,0,0,0,0,526,506,0,1018,39,0
11,0,0,0,0,525,505,0,1018,38,0
12,0,0,0,0,522,506,0,1018,38,0
13,0,0,0,0,531,508,0,1018,38,0
14,0,0,0,0,540,508,0,1018,38,0
15,0,0,0,0,532,508,0,1018,38,0
0,0,0,0,0,537,507,0,1018,38,0
1,0,0,0,0,528,507,0,1018,38,0
2,0,0,0,0,507,507,0,1018,39,0
3,0,0,0,0,508,505,0,1018,38,0
4,0,0,0,0,513,505,0,1018,38,0
5,0,0,0,0,507,507,0,1018,38,0
6,0,0,0,0,485,508,0,1018,38,0
7,0,0,0,0,506,510,0,1018,38,0
8,0,0,0,0,510,507,0,1018,38,0
9,0,0,0,0,515,508,0,1018,38,0
10,0,0,0,0,507,508,0,1018,38,0
11,0,0,0,0,502,507,0,1018,38,0
12,0,0,0,0,485,507,0,1018,38,0
13,0,0,0,0,484,508,0,1018,38,0
14,0,0,0,0,492,510,0,1018,38,0
15,0,0,0,0,510,508,0,1018,38,0
0,0,0,0,0,546,507,0,1018,38,0
1,0,0,0,0,555,506,0,1018,38,0
2,0,0,0,0,503,505,0,1018,39,0
3,0,0,0,0,467,505,0,1018,38,0
4,0,0,0,0,436,505,0,1018,38,0
5,0,0,0,0,450,505,0,1018,38,0
6,0,0,0,0,472,506,0,1018,38,0
7,0,0,0,0,496,507,0,1018,38,0
8,0,0,0,0,534,509,0,1018,38,0
9,0,0,0,0,575,507,0,1018,38,0
10,0,0,0,0,592,508,0,1018,39,0
11,0,0,0,0,572,508,0,1018,38,0
12,0,0,0,0,532,508,0,1018,38,0
13,0,0,0,0,499,509,0,1018,38,0
14,0,0,0,0,489,508,0,1018,38,0
15,0,0,0,0,488,508,0,1018,38,0
0,0,0,0,0,495,508,0,1018,38,0
1,0,0,0,0,470,508,0,1018,38,0
2,0,0,0,0,496,508,0,1018,39,0
3,0,0,0,0,508,507,0,1018,38,0
4,0,0,0,0,512,506,0,1018,38,0
5,0,0,0,0,478,505,0,1018,38,0
6,0,0,0,0,467,505,0,807,38,0
7,0,0,0,0,466,505,0,406,38,0
8,0,0,0,0,487,506,0,0,38,0
9,0,0,0,0,524,506,0,0,38,0
10,0,0,0,0,542,505,0,0,39,0
11,0,0,0,0,554,505,0,0,38,0
12,0,0,0,0,560,505,0,0,38,0
13,0,0,0,0,540,505,0,0,38,0
14,0,0,0,0,520,504,0,0,38,0
15,0,0,0,0,500,505,0,0,38,0
0,0,0,0,0,490,507,0,0,38,0
1,0,0,0,0,474,506,0,0,38,0
2,0,0,0,0,472,506,0,0,39,0
3,0,0,0,0,498,507,0,0,38,0
4,0,0,0,0,527,508,0,0,38,0
5,0,0,0,0,521,508,0,0,38,0
6,0,0,0,0,508,508,0,0,38,0
7,0,0,0,0,524,507,0,299,38,0
8,0,0,0,0,524,507,0,619,38,0
9,0,0,0,0,529,508,0,953,38,0
10,0,0,0,0,527,509,0,1018,39,0
11,0,0,0,0,515,510,0,1018,38,0
12,0,0,0,0,504,510,0,1018,38,0
13,0,0,0,0,504,508,0,1018,38,0
14,0,0,0,0,496,505,0,1018,38,0
15,0,0,0,0,514,507,0,1018,38,0
0,0,0,0,0,520,507,0,1018,38,0
1,0,0,0,0,531,505,0,1018,38,0
2,0,0,0,0,537,505,0,1018,38,0
3,0,0,0,0,531,504,0,1018,38,0
4,0,0,0,0,528,505,0,1018,38,0
5,0,0,0,0,508,505,0,1018,38,0
6,0,0,0,0,487,504,0,1018,38,0
7,0,0,0,0,443,504,0,1018,38,0
8,0,0,0,0,454,506,0,1018,38,0
9,0,0,0,0,459,505,0,1018,38,0
10,0,0,0,0,494,506,0,1018,39,0
11,0,0,0,0,519,506,0,1018,38,0
12,0,0,0,0,531,507,0,1018,38,0
13,0,0,0,0,536,507,0,1018,38,0
14,0,0,0,0,564,508,0,877,38,0
15,0,0,0,0,580,509,0,839,38,0
0,0,0,0,0,583,508,0,694,38,0
1,0,0,0,0,555,509,0,438,38,0
2,0,0,0,0,499,508,0,217,38,0
3,0,0,0,0,446,507,0,50,38,0
4,0,0,0,0,440,507,0,0,38,0
5,0,0,0,0,408,505,0,0,38,0
6,0,0,0,0,374,505,0,0,38,0
7,0,0,0,0,460,505,0,0,38,0
8,0,0,0,0,519,507,0,200,38,0
9,0,0,0,0,559,506,0,279,38,0
10,0,0,0,0,570,505,0,497,39,0
11,0,0,0,0,549,505,0,838,38,0
12,0,0,0,0,526,507,0,1018,38,0
13,0,0,0,0,525,507,0,1018,38,0
14,0,0,0,0,527,508,0,1018,38,0
